nume_actiune, timestamp
User asked for help, 21:43:38-28.05.2025
User exited, 21:43:40-28.05.2025
User asked for help, 22:00:51-28.05.2025
User logged in, 22:00:55-28.05.2025
User asked for help, 22:00:58-28.05.2025
User logged the registry, 22:01:03-28.05.2025
User uploaded, 22:01:22-28.05.2025
User logged the registry, 22:03:06-28.05.2025
User asked for help, 22:04:09-28.05.2025
User logged in, 22:04:16-28.05.2025
User uploaded, 22:04:25-28.05.2025
User logged in, 22:04:46-28.05.2025
User uploaded, 22:04:50-28.05.2025
User uploaded, 22:04:56-28.05.2025
User failed to log in, 22:17:23-28.05.2025
User registered, 22:17:30-28.05.2025
User logged in, 22:17:35-28.05.2025
User logged the registry, 22:17:41-28.05.2025
User uploaded, 22:17:51-28.05.2025
User asked for help, 22:22:34-28.05.2025
User registered, 22:22:49-28.05.2025
User logged in, 22:22:51-28.05.2025
User uploaded, 22:22:59-28.05.2025
User asked for help, 22:34:21-28.05.2025
User logged in, 22:34:27-28.05.2025
User registered, 22:34:36-28.05.2025
User logged in, 22:34:39-28.05.2025
User uploaded, 22:34:45-28.05.2025
User logged the registry, 22:34:47-28.05.2025
User asked for help, 22:35:01-28.05.2025
User removed from the registry, 22:35:22-28.05.2025
User exited, 12:58:00-29.05.2025
User asked for help, 19:17:56-29.05.2025
User registered, 19:18:02-29.05.2025
User logged in, 19:18:40-29.05.2025
User uploaded, 19:18:41-29.05.2025
User logged the registry, 19:18:44-29.05.2025
User exited, 19:39:06-29.05.2025
User logged in, 19:39:11-29.05.2025
User logged the registry, 19:39:13-29.05.2025
User exited, 19:42:14-29.05.2025
User logged in, 19:42:19-29.05.2025
User logged the registry, 19:42:23-29.05.2025
User registered, 21:11:18-29.05.2025
User asked for help, 21:11:22-29.05.2025
User logged in, 21:11:27-29.05.2025
User asked for help, 21:11:30-29.05.2025
User logged the registry, 21:11:37-29.05.2025
User uploaded, 21:11:45-29.05.2025
User exited, 21:19:23-29.05.2025
User logged in, 21:19:29-29.05.2025
User logged the registry, 21:19:31-29.05.2025
